Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Folgefonna Skisenter;SN49085;31.10.2016;3.6
Folgefonna Skisenter;SN49085;01.11.2016;2.9
Folgefonna Skisenter;SN49085;02.11.2016;2.5
Folgefonna Skisenter;SN49085;03.11.2016;3
Folgefonna Skisenter;SN49085;04.11.2016;5.8
Folgefonna Skisenter;SN49085;05.11.2016;11.8
Folgefonna Skisenter;SN49085;06.11.2016;10
Folgefonna Skisenter;SN49085;07.11.2016;8.6
Folgefonna Skisenter;SN49085;08.11.2016;12
Folgefonna Skisenter;SN49085;09.11.2016;10.9
Folgefonna Skisenter;SN49085;10.11.2016;3.3
Folgefonna Skisenter;SN49085;11.11.2016;5.4
Folgefonna Skisenter;SN49085;12.11.2016;8.4
Folgefonna Skisenter;SN49085;13.11.2016;5.1
Folgefonna Skisenter;SN49085;14.11.2016;6.5
Folgefonna Skisenter;SN49085;15.11.2016;6.6
Folgefonna Skisenter;SN49085;16.11.2016;5.9
Folgefonna Skisenter;SN49085;17.11.2016;7.6
Folgefonna Skisenter;SN49085;18.11.2016;6
Folgefonna Skisenter;SN49085;19.11.2016;5.5
Folgefonna Skisenter;SN49085;20.11.2016;8.9
Folgefonna Skisenter;SN49085;21.11.2016;5.5
Folgefonna Skisenter;SN49085;22.11.2016;10.5
Folgefonna Skisenter;SN49085;23.11.2016;4.9
Folgefonna Skisenter;SN49085;24.11.2016;4.7
Folgefonna Skisenter;SN49085;25.11.2016;6.7
Folgefonna Skisenter;SN49085;26.11.2016;6.5
Folgefonna Skisenter;SN49085;27.11.2016;3.2
Folgefonna Skisenter;SN49085;28.11.2016;2.1
Folgefonna Skisenter;SN49085;29.11.2016;6.3
Folgefonna Skisenter;SN49085;30.11.2016;4.8
Folgefonna Skisenter;SN49085;01.12.2016;5.9
Folgefonna Skisenter;SN49085;02.12.2016;2
Folgefonna Skisenter;SN49085;03.12.2016;4
Folgefonna Skisenter;SN49085;04.12.2016;4.8
Folgefonna Skisenter;SN49085;05.12.2016;4.5
Folgefonna Skisenter;SN49085;06.12.2016;4.2
Folgefonna Skisenter;SN49085;07.12.2016;7.3
Folgefonna Skisenter;SN49085;08.12.2016;8
Folgefonna Skisenter;SN49085;09.12.2016;5.4
Folgefonna Skisenter;SN49085;10.12.2016;4.4
Folgefonna Skisenter;SN49085;11.12.2016;2.6
Folgefonna Skisenter;SN49085;12.12.2016;5.1
Folgefonna Skisenter;SN49085;13.12.2016;4
Folgefonna Skisenter;SN49085;14.12.2016;5.6
Folgefonna Skisenter;SN49085;15.12.2016;6.2
Folgefonna Skisenter;SN49085;16.12.2016;3.6
Folgefonna Skisenter;SN49085;17.12.2016;5
Folgefonna Skisenter;SN49085;18.12.2016;3.9
Folgefonna Skisenter;SN49085;19.12.2016;5.3
Folgefonna Skisenter;SN49085;20.12.2016;6.9
Folgefonna Skisenter;SN49085;21.12.2016;8.9
Folgefonna Skisenter;SN49085;22.12.2016;8.6
Folgefonna Skisenter;SN49085;23.12.2016;9.2
Folgefonna Skisenter;SN49085;24.12.2016;9.4
Folgefonna Skisenter;SN49085;25.12.2016;8.8
Folgefonna Skisenter;SN49085;26.12.2016;12.3
Folgefonna Skisenter;SN49085;28.12.2016;6.3
Folgefonna Skisenter;SN49085;29.12.2016;6.8
Folgefonna Skisenter;SN49085;30.12.2016;7.9
Folgefonna Skisenter;SN49085;31.12.2016;6.2
Folgefonna Skisenter;SN49085;01.01.2017;3.2
Folgefonna Skisenter;SN49085;02.01.2017;2.2
Folgefonna Skisenter;SN49085;03.01.2017;7.6
Folgefonna Skisenter;SN49085;04.01.2017;4.4
Folgefonna Skisenter;SN49085;05.01.2017;3.8
Folgefonna Skisenter;SN49085;06.01.2017;9.1
Folgefonna Skisenter;SN49085;07.01.2017;2.5
Folgefonna Skisenter;SN49085;08.01.2017;5.9
Folgefonna Skisenter;SN49085;09.01.2017;7.4
Folgefonna Skisenter;SN49085;10.01.2017;7.9
Folgefonna Skisenter;SN49085;11.01.2017;8
Folgefonna Skisenter;SN49085;12.01.2017;8.4
Folgefonna Skisenter;SN49085;13.01.2017;4.4
Folgefonna Skisenter;SN49085;14.01.2017;2
Folgefonna Skisenter;SN49085;15.01.2017;2.1
Folgefonna Skisenter;SN49085;16.01.2017;3.9
Folgefonna Skisenter;SN49085;17.01.2017;6.6
Folgefonna Skisenter;SN49085;18.01.2017;5.6
Folgefonna Skisenter;SN49085;19.01.2017;8.1
Folgefonna Skisenter;SN49085;20.01.2017;6.2
Folgefonna Skisenter;SN49085;21.01.2017;2.9
Folgefonna Skisenter;SN49085;22.01.2017;4.1
Folgefonna Skisenter;SN49085;23.01.2017;3.2
Folgefonna Skisenter;SN49085;24.01.2017;6.4
Folgefonna Skisenter;SN49085;25.01.2017;5.9
Folgefonna Skisenter;SN49085;26.01.2017;8.4
Folgefonna Skisenter;SN49085;27.01.2017;11.8
Folgefonna Skisenter;SN49085;28.01.2017;10.2
Folgefonna Skisenter;SN49085;29.01.2017;9.8
Folgefonna Skisenter;SN49085;30.01.2017;2.3
Folgefonna Skisenter;SN49085;31.01.2017;6.8
Folgefonna Skisenter;SN49085;01.02.2017;9.3
Folgefonna Skisenter;SN49085;02.02.2017;11.1
Folgefonna Skisenter;SN49085;03.02.2017;11.5
Folgefonna Skisenter;SN49085;04.02.2017;11.8
Folgefonna Skisenter;SN49085;05.02.2017;11.4
Folgefonna Skisenter;SN49085;06.02.2017;15.9
Folgefonna Skisenter;SN49085;07.02.2017;20.5
Folgefonna Skisenter;SN49085;08.02.2017;14.7
Folgefonna Skisenter;SN49085;09.02.2017;12.4
Folgefonna Skisenter;SN49085;10.02.2017;7.5
Folgefonna Skisenter;SN49085;11.02.2017;2.2
Folgefonna Skisenter;SN49085;12.02.2017;1.3
Folgefonna Skisenter;SN49085;13.02.2017;1.5
Folgefonna Skisenter;SN49085;14.02.2017;2.9
Folgefonna Skisenter;SN49085;15.02.2017;5.6
Folgefonna Skisenter;SN49085;16.02.2017;3.5
Folgefonna Skisenter;SN49085;17.02.2017;1.7
Folgefonna Skisenter;SN49085;18.02.2017;5.6
